longitude,latitude,ndvi,ndbi
27.214993680748858,38.39185070483328,0.20577005,-8.804367E-4
27.215108190617748,38.391850494760305,0.23122023,-0.107814044
27.215222700485448,38.391850284575476,0.30745277,-0.07566183
27.214993413900793,38.3917605824983,0.14440572,-0.020542033
27.215107923627556,38.391760372426006,0.24296057,-0.06625259
27.21522243335313,38.391760162241845,0.4954955,0.025194166
27.21487863746809,38.3916706701217,0.35830712,-0.02747134
27.21499314705392,38.39167046016193,0.1882353,-0.07755437
27.21510765663856,38.39167025009031,0.48623854,-0.20215876
27.21522216622201,38.39167003990683,0.6775444,-0.18810068
27.215336675804263,38.391669829611494,0.69530684,-0.123982765
27.214763861319632,38.39158075763049,0.6513181,-0.17069525
27.21487837076453,38.39158054778326,0.37817797,-0.07298969
27.21499288020824,38.39158033782417,0.44236672,-0.069536425
27.215107389650754,38.39158012775322,0.7827597,-0.2281923
27.21522189909208,38.39157991757042,0.81427234,-0.24268943
27.21533640853221,38.39157970727575,0.75,-0.18230563
27.21476359475939,38.39149063529,0.54545456,-0.19095111
27.21487810406217,38.391490425443436,0.36163682,-0.18627451
27.21499261336375,38.39149021548502,0.54816115,-0.18445735
27.215107122664143,38.391490005414745,0.86049825,-0.34568855
27.21522163196334,38.391489795232616,0.80703455,-0.37558338
27.215336141261346,38.39148958493863,0.82462054,-0.26401868
27.215450650558157,38.39148937453279,0.63773584,-0.204947
27.2146488190385,38.391400722682135,0.736798,-0.109504685
27.214763328200345,38.3914005129481,0.34495643,-0.2376805
27.214877837360994,38.391400303102216,0.416309,-0.15089513
27.214992346520457,38.39140009314447,0.7174299,-0.13969375
27.215106855678723,38.391399883074875,0.8206039,-0.2345679
27.2152213648358,38.391399672893414,0.7740785,-0.2755771
27.215335873991684,38.391399462600106,0.8004952,-0.23543689
27.21545038314637,38.391399252194944,0.7360825,-0.23189466
27.214648552622762,38.39131060033818,0.58284026,-0.0065851365
27.214763061642483,38.39131039060482,0.19682854,-0.17676866
27.214877570661013,38.39131018075961,0.44418332,-0.08688923
27.214992079678353,38.39130997080254,0.76054734,-0.057292856
27.215106588694496,38.39130976073361,0.7435456,-0.26902598
27.21522109770945,38.39130955055283,0.7608421,-0.28360957
27.215335606723208,38.3913093402602,0.7624224,-0.2058433
27.215450115735777,38.391309129855706,0.71305215,-0.26607758
27.21556462474715,38.39130891933936,0.5942029,-0.03916552
27.214533777329432,38.39122068761366,0.7494367,-0.19851807
27.214648286208217,38.39122047799283,0.46788466,-0.098014094
27.214762795085814,38.39122026826015,0.17847131,-0.1977208
27.214877303962222,38.39122005841561,0.31557077,-0.13162321
27.21499181283744,38.391219848459215,0.6010929,-0.06327966
27.215106321711463,38.39121963839097,0.753678,-0.28250846
27.215220830584297,38.39121942821086,0.78323454,-0.28689277
27.215335339455933,38.3912192179189,0.7369687,-0.18328325
27.215449848326376,38.39121900751508,0.6598457,-0.24666163
27.215564357195625,38.39121879699941,0.5020678,-0.054791868
27.214533511058196,38.39113056526626,0.7596603,-0.14760454
27.214648019794865,38.3911303556461,0.3660958,0.014679556
27.21476252853034,38.39113014591408,0.18178397,-0.051221963
27.214877037264625,38.39112993607022,0.18614891,-0.0731619
27.21499154599772,38.3911297261145,0.41745943,0.0051060487
27.215106054729624,38.391129516046924,0.8480899,-0.21047984
27.21522056346033,38.391129305867494,0.7597234,-0.20580398
27.21533507218985,38.39112909557621,0.7565002,-0.17666574
