longitude,latitude,glcm_contrast,glcm_entropy,fakulte
27.204507044534772,38.36834736099339,232.30357142857147,4.306981530082384,Guzel Sanatlar
27.204621517436102,38.36834716126695,232.50694444444446,4.29735448590794,Guzel Sanatlar
27.204735990336292,38.368346961428756,227.02281746031747,4.254720433135404,Guzel Sanatlar
27.20439231815557,38.368257437849614,198.20337301587304,4.315233282231906,Guzel Sanatlar
27.20450679091607,38.368257238235586,186.37400793650795,4.29735448590794,Guzel Sanatlar
27.204621263675435,38.36825703850978,177.8392857142857,4.287727441733496,Guzel Sanatlar
27.204735736433665,38.368256838672224,175.83928571428572,4.24509338896096,Guzel Sanatlar
27.204850209190766,38.368256638722904,178.8204365079365,4.220466352687649,Guzel Sanatlar
27.20496468194673,38.36825643866182,216.11111111111111,4.208088724463364,Guzel Sanatlar
27.204392064679958,38.36816731508977,182.25694444444443,4.268473353384608,Guzel Sanatlar
27.204506537298496,38.36816711547638,142.58035714285714,4.260221601235084,Guzel Sanatlar
27.204621009915904,38.368166915751225,90.62797619047618,4.240967512886198,Guzel Sanatlar
27.20473548253218,38.368166715914306,59.889880952380935,4.193843595804428,Guzel Sanatlar
27.204849955147314,38.36816651596562,51.62400793650795,4.176133350112203,Guzel Sanatlar
27.204964427761322,38.36816631590518,84.25297619047618,4.166506305937759,Guzel Sanatlar
27.20507890037419,38.36816611573297,126.95436507936506,4.222037082315299,Guzel Sanatlar
27.20519337298592,38.368165915449,163.3323412698413,4.238904574848817,Guzel Sanatlar
27.205307845596515,38.36816571505326,199.55456349206355,4.232028114724214,Guzel Sanatlar
27.204277338727767,38.368077391829516,188.2559523809524,4.254720433135404,Guzel Sanatlar
27.20439181120548,38.368077192328535,161.76884920634922,4.254720433135404,Guzel Sanatlar
27.204506283682058,38.368076992715785,133.26984126984127,4.24646868098588,Guzel Sanatlar
27.204620756157503,38.36807679299127,87.98908730158728,4.21896284048747,Guzel Sanatlar
27.20473522863182,38.368076593154996,52.75892857142857,4.150845554797421,Guzel Sanatlar
27.204849701105,38.368076393206955,40.426587301587304,4.156879261763316,Guzel Sanatlar
27.204964173577043,38.368076193147154,45.02281746031746,4.152065739676093,Guzel Sanatlar
27.20507864604795,38.368075992975584,66.859126984127,4.208971808078554,Guzel Sanatlar
27.205193118517723,38.36807579269225,95.69146825396825,4.217587548462549,Guzel Sanatlar
27.20530759098636,38.36807559229716,128.58730158730157,4.1942075840388995,Guzel Sanatlar
27.20542206345386,38.368075391790306,171.0109126984127,4.218962840487469,Guzel Sanatlar
27.20553653592022,38.368075191171684,210.25694444444449,4.2141493184002465,Guzel Sanatlar
27.20565100838544,38.3680749904413,243.65575396825395,4.248531619023261,Guzel Sanatlar
27.20427708539638,38.367987269066255,144.9801587301587,4.24646868098588,Guzel Sanatlar
27.204391557732134,38.367987069565906,125.21825396825395,4.259533955222626,Guzel Sanatlar
27.204506030066753,38.3679868699538,97.22619047619047,4.251282203073103,Guzel Sanatlar
27.204620502400243,38.36798667022993,68.26289682539681,4.233403406749135,Guzel Sanatlar
27.204734974732595,38.36798647039429,43.338293650793645,4.172526569418161,Guzel Sanatlar
27.20484944706382,38.3679862704469,43.50892857142856,4.16719395195022,Guzel Sanatlar
27.2049639193939,38.36798607038774,43.56051587301587,4.166506305937759,Guzel Sanatlar
27.205078391722854,38.36798587021681,47.46527777777779,4.19796947187919,Guzel Sanatlar
27.205192864050666,38.36798566993412,51.62996031746032,4.163587171256177,Guzel Sanatlar
27.205307336377345,38.367985469539676,65.6855158730159,4.132602770238982,Guzel Sanatlar
27.205421808702884,38.36798526903346,99.05753968253968,4.0911485718886365,Guzel Sanatlar
27.205536281027285,38.367985068415486,139.04166666666669,4.061708013528103,Guzel Sanatlar
27.20565075335055,38.36798486768575,174.85119047619045,4.146032032710199,Guzel Sanatlar
27.20576522567267,38.367984666844244,206.0763888888889,4.183892893851997,Guzel Sanatlar
27.20587969799366,38.367984465890984,241.03174603174602,4.168764681577871,Guzel Sanatlar
27.204162359871198,38.36789734568954,129.2470238095238,4.223776362574692,Guzel Sanatlar
27.20427683206612,38.3678971463016,111.77182539682536,4.2168999024500895,Guzel Sanatlar
27.204391304259918,38.36789694680189,100.08432539682538,4.225839300612072,Guzel Sanatlar
27.204505776452578,38.36789674719043,85.32440476190477,4.217587548462548,Guzel Sanatlar
27.20462024864411,38.3678965474672,65.31944444444444,4.22240107054977,Guzel Sanatlar
27.20473472083451,38.367896347632204,57.6686507936508,4.16977598536832,Guzel Sanatlar
27.204849193023772,38.36789614768545,58.923611111111114,4.1955828760638205,Guzel Sanatlar
27.2049636652119,38.367895947626934,58.268849206349216,4.198333460113661,Guzel Sanatlar
27.20507813739889,38.36789574745665,57.359126984126995,4.20173135971948,Guzel Sanatlar
27.205192609584742,38.367895547174605,49.12301587301587,4.146032032710199,Guzel Sanatlar
27.205307081769465,38.367895346780806,42.70932539682539,4.0821688432701695,Guzel Sanatlar
27.205421553953048,38.36789514627523,39.704365079365076,3.9865591605672046,Guzel Sanatlar
27.20553602613549,38.367894945657895,48.6140873015873,3.9667456463811157,Guzel Sanatlar
27.205650498316796,38.367894744928805,66.1111111111111,4.055390979240703,Guzel Sanatlar
27.20576497049696,38.36789454408795,94.07242063492063,4.120589130249169,Guzel Sanatlar
27.205879442675986,38.367894343135326,133.7986111111111,4.146072363166683,Guzel Sanatlar
27.205993914853874,38.36789414207095,170.04166666666663,4.202459336188424,Guzel Sanatlar
27.206108387030618,38.36789394089481,187.1299603174603,4.243030450923579,Guzel Sanatlar
27.206222859206218,38.367893739606906,196.15079365079362,4.242342804911119,Guzel Sanatlar
27.20416210668403,38.367807222922856,102.76388888888891,4.24509338896096,Guzel Sanatlar
27.204276578736998,38.367807023535555,93.625,4.239592220861278,Guzel Sanatlar
