longitude,latitude,ndvi,ndbi,fakulte
27.204507044534772,38.36834736099339,0.09256845,-0.02743295,Guzel Sanatlar
27.204621517436102,38.36834716126695,0.066508316,0.0047498415,Guzel Sanatlar
27.204735990336292,38.368346961428756,0.06864564,0.023728814,Guzel Sanatlar
27.20439231815557,38.368257437849614,0.12473868,0.0037037036,Guzel Sanatlar
27.20450679091607,38.368257238235586,0.017363343,0.029298972,Guzel Sanatlar
27.204621263675435,38.36825703850978,0.02960103,0.023646072,Guzel Sanatlar
27.204735736433665,38.368256838672224,0.06592644,0.0455181,Guzel Sanatlar
27.204850209190766,38.368256638722904,0.056843553,0.044706613,Guzel Sanatlar
27.20496468194673,38.36825643866182,0.046667814,0.031085605,Guzel Sanatlar
27.204392064679958,38.36816731508977,0.04539559,0.0043236567,Guzel Sanatlar
27.204506537298496,38.36816711547638,-8.282259E-4,0.053209856,Guzel Sanatlar
27.204621009915904,38.368166915751225,0.03570237,0.038860504,Guzel Sanatlar
27.20473548253218,38.368166715914306,0.11930586,0.04163442,Guzel Sanatlar
27.204849955147314,38.36816651596562,0.14486529,0.068762906,Guzel Sanatlar
27.204964427761322,38.36816631590518,0.06304985,0.0544506,Guzel Sanatlar
27.20507890037419,38.36816611573297,0.06656805,0.057208236,Guzel Sanatlar
27.20519337298592,38.368165915449,0.16816327,0.009517217,Guzel Sanatlar
27.205307845596515,38.36816571505326,0.116641335,-0.0037568307,Guzel Sanatlar
27.204277338727767,38.368077391829516,0.1371319,-0.0026117684,Guzel Sanatlar
27.20439181120548,38.368077192328535,0.0056551946,0.02107581,Guzel Sanatlar
27.204506283682058,38.368076992715785,-0.006692981,0.066903114,Guzel Sanatlar
27.204620756157503,38.36807679299127,0.06019485,0.041220892,Guzel Sanatlar
27.20473522863182,38.368076593154996,0.13973002,0.026032737,Guzel Sanatlar
27.204849701105,38.368076393206955,0.17642586,0.030853564,Guzel Sanatlar
27.204964173577043,38.368076193147154,0.110781774,-0.011983123,Guzel Sanatlar
27.20507864604795,38.368075992975584,0.034234915,0.034092918,Guzel Sanatlar
27.205193118517723,38.36807579269225,0.11740891,0.023656866,Guzel Sanatlar
27.20530759098636,38.36807559229716,0.18004085,0.06755822,Guzel Sanatlar
27.20542206345386,38.368075391790306,0.13579117,0.045419555,Guzel Sanatlar
27.20553653592022,38.368075191171684,0.11098288,-0.030692363,Guzel Sanatlar
27.20565100838544,38.3680749904413,0.097627245,-0.013716962,Guzel Sanatlar
27.20427708539638,38.367987269066255,0.04852459,0.0074487897,Guzel Sanatlar
27.204391557732134,38.367987069565906,0.016329197,0.02107581,Guzel Sanatlar
27.204506030066753,38.3679868699538,0.006007646,0.089920945,Guzel Sanatlar
27.204620502400243,38.36798667022993,0.09431921,0.04335488,Guzel Sanatlar
27.204734974732595,38.36798647039429,0.1226147,0.08685601,Guzel Sanatlar
27.20484944706382,38.3679862704469,0.0862378,0.09371884,Guzel Sanatlar
27.2049639193939,38.36798607038774,0.054094665,0.021105878,Guzel Sanatlar
27.205078391722854,38.36798587021681,0.008977447,0.11909769,Guzel Sanatlar
27.205192864050666,38.36798566993412,0.03305785,0.29873773,Guzel Sanatlar
27.205307336377345,38.367985469539676,-0.05372168,0.22584061,Guzel Sanatlar
27.205421808702884,38.36798526903346,0.016696636,0.15697551,Guzel Sanatlar
27.205536281027285,38.367985068415486,0.06746928,0.12138728,Guzel Sanatlar
27.20565075335055,38.36798486768575,0.123313166,0.099589705,Guzel Sanatlar
27.20576522567267,38.367984666844244,0.13717532,0.025391305,Guzel Sanatlar
27.20587969799366,38.367984465890984,0.12861085,-0.020462485,Guzel Sanatlar
27.204162359871198,38.36789734568954,0.20387265,-0.0027915633,Guzel Sanatlar
27.20427683206612,38.3678971463016,0.001690903,-0.028472222,Guzel Sanatlar
27.204391304259918,38.36789694680189,0.0031304348,-0.0151355155,Guzel Sanatlar
27.204505776452578,38.36789674719043,0.0059443912,0.059182208,Guzel Sanatlar
27.20462024864411,38.3678965474672,0.12,-0.016486261,Guzel Sanatlar
27.20473472083451,38.367896347632204,0.11092114,0.07112223,Guzel Sanatlar
27.204849193023772,38.36789614768545,0.038125664,0.10305484,Guzel Sanatlar
27.2049636652119,38.367895947626934,0.0444092,-0.053178728,Guzel Sanatlar
27.20507813739889,38.36789574745665,0.0027288515,0.07906129,Guzel Sanatlar
27.205192609584742,38.367895547174605,-0.0014705883,0.24239889,Guzel Sanatlar
27.205307081769465,38.367895346780806,-0.035906255,-0.0033564556,Guzel Sanatlar
27.205421553953048,38.36789514627523,-0.025594564,0.11753846,Guzel Sanatlar
27.20553602613549,38.367894945657895,-0.03343465,0.2628651,Guzel Sanatlar
27.205650498316796,38.367894744928805,-0.037411526,0.33643124,Guzel Sanatlar
27.20576497049696,38.36789454408795,-0.043728724,0.22330923,Guzel Sanatlar
27.205879442675986,38.367894343135326,0.047782406,0.21598826,Guzel Sanatlar
27.205993914853874,38.36789414207095,0.04191202,0.048703354,Guzel Sanatlar
27.206108387030618,38.36789394089481,0.08321965,0.057566766,Guzel Sanatlar
27.206222859206218,38.367893739606906,0.11997074,0.07576215,Guzel Sanatlar
27.20416210668403,38.367807222922856,0.124060154,0.036261078,Guzel Sanatlar
27.204276578736998,38.367807023535555,0.037567083,0.034763314,Guzel Sanatlar
27.204391050788836,38.36780682403649,0.077504724,0.043445833,Guzel Sanatlar
27.20450552283954,38.36780662442566,0.078318216,0.060513556,Guzel Sanatlar
27.204619994889114,38.367806424703076,0.18169886,-0.032437745,Guzel Sanatlar
27.204734466937552,38.36780622486872,0.23278153,-0.0031598203,Guzel Sanatlar
27.204848938984856,38.3678060249226,0.19198921,-0.016086672,Guzel Sanatlar
27.204963411031027,38.36780582486473,0.060708642,0.003815176,Guzel Sanatlar
27.20507788307606,38.367805624695094,0.011282051,0.23108916,Guzel Sanatlar
27.20519235511996,38.36780542441369,-0.035426166,0.23653525,Guzel Sanatlar
27.205306827162723,38.367805224020536,-0.04003836,0.053204067,Guzel Sanatlar
27.205421299204342,38.36780502351561,-0.010664479,0.20185308,Guzel Sanatlar
27.205535771244833,38.36780482289892,0.006527821,0.2544324,Guzel Sanatlar
27.20565024328418,38.36780462217047,-0.0069779926,0.21709691,Guzel Sanatlar
27.20576471532239,38.36780442133026,-0.009970089,0.18305224,Guzel Sanatlar
27.205879187359457,38.36780422037828,-0.04358502,0.36068937,Guzel Sanatlar
27.205993659395386,38.367804019314555,-0.004074402,0.08242206,Guzel Sanatlar
27.20610813143017,38.36780381813906,0.092129126,0.08410646,Guzel Sanatlar
27.206222603463814,38.367803616851795,0.11539798,0.052413996,Guzel Sanatlar
27.204161853497993,38.36771710015478,0.0723104,0.08588611,Guzel Sanatlar
27.204276325409005,38.36771690076811,0.021021022,0.25648236,Guzel Sanatlar
27.204390797318887,38.367716701269686,-0.004537205,0.29407978,Guzel Sanatlar
27.204505269227635,38.3677165016595,0.08344371,0.14300682,Guzel Sanatlar
27.20461974113525,38.36771630193755,0.13854267,-0.042352423,Guzel Sanatlar
27.204734213041732,38.36771610210384,0.14252107,-0.1389486,Guzel Sanatlar
27.204848684947077,38.36771590215837,0.1672556,-0.14876352,Guzel Sanatlar
27.204963156851292,38.36771570210114,0.13472623,0.09793814,Guzel Sanatlar
27.20507762875437,38.36771550193214,0.0,0.35572842,Guzel Sanatlar
27.205192100656312,38.36771530165139,-0.006045949,0.18004988,Guzel Sanatlar
27.205306572557117,38.36771510125887,-0.0058604158,0.11814745,Guzel Sanatlar
27.205421044456784,38.367714900754585,-0.020268163,0.29614696,Guzel Sanatlar
27.20553551635531,38.36771470013854,-0.036033597,0.23844178,Guzel Sanatlar
27.205649988252706,38.36771449941074,-0.051230334,0.113790505,Guzel Sanatlar
27.205764460148956,38.36771429857117,-0.0038206314,0.08816492,Guzel Sanatlar
27.20587893204407,38.367714097619846,-0.0026064292,0.17126873,Guzel Sanatlar
27.205993403938038,38.36771389655676,0.02329686,0.056315105,Guzel Sanatlar
27.206107875830867,38.3677136953819,0.10034602,0.035440613,Guzel Sanatlar
27.204047128542904,38.36762717665957,0.09835515,-0.062165234,Guzel Sanatlar
27.20416160031309,38.36762697738531,0.026535979,0.14733917,Guzel Sanatlar
27.204276072082145,38.367626777999284,0.13394018,0.39507458,Guzel Sanatlar
27.20439054385007,38.36762657850151,-0.027120104,0.28048393,Guzel Sanatlar
27.204505015616864,38.367626378891956,0.04347826,0.28126836,Guzel Sanatlar
27.20461948738252,38.36762617917065,0.02236136,0.3124812,Guzel Sanatlar
27.204733959147045,38.36762597933758,-0.004045853,0.19728261,Guzel Sanatlar
27.204848430910438,38.36762577939275,0.019493986,0.28379953,Guzel Sanatlar
27.20496290267269,38.36762557933616,0.103011094,0.467279,Guzel Sanatlar
27.205077374433813,38.36762537916781,-0.08237048,0.21791613,Guzel Sanatlar
27.205191846193802,38.3676251788877,-0.055505414,0.06122449,Guzel Sanatlar
27.205306317952648,38.36762497849582,-0.022974102,0.005738576,Guzel Sanatlar
27.205420789710356,38.367624777992184,-0.015552754,0.1052531,Guzel Sanatlar
27.20553526146693,38.36762457737679,-0.02701667,0.065169364,Guzel Sanatlar
27.205649733222366,38.36762437664963,-0.011832198,0.035014007,Guzel Sanatlar
27.205764204976663,38.367624175810704,-0.027105168,0.04674221,Guzel Sanatlar
27.205878676729817,38.367623974860024,0.00873596,0.06848864,Guzel Sanatlar
27.20599314848183,38.36762377379758,0.06895934,0.041900788,Guzel Sanatlar
27.204046875501085,38.367537053888064,0.09014675,0.014529374,Guzel Sanatlar
27.204161347129315,38.36753685461445,0.031365674,0.096432835,Guzel Sanatlar
27.204275818756415,38.36753665522907,-0.007890584,0.24165662,Guzel Sanatlar
27.20439029038238,38.36753645573192,-0.09888868,0.1270073,Guzel Sanatlar
27.204504762007222,38.367536256123024,-0.028646981,0.17002448,Guzel Sanatlar
27.204619233630925,38.36753605640236,0.01786896,0.33778256,Guzel Sanatlar
27.204733705253496,38.36753585656993,0.07222636,0.26115957,Guzel Sanatlar
27.20484817687493,38.36753565662574,0.05239688,0.44503233,Guzel Sanatlar
27.20496264849523,38.36753545656979,-0.053654023,0.38797486,Guzel Sanatlar
27.205077120114392,38.367535256402086,-0.07586963,0.15797354,Guzel Sanatlar
27.205191591732426,38.36753505612261,-0.06539399,0.10449504,Guzel Sanatlar
27.205306063349315,38.36753485573138,-0.031117398,0.01756902,Guzel Sanatlar
27.205420534965075,38.36753465522839,8.813679E-4,0.031553812,Guzel Sanatlar
27.20553500657969,38.36753445461363,0.019475656,0.052558303,Guzel Sanatlar
27.205649478193166,38.36753425388712,0.006601942,0.06425993,Guzel Sanatlar
27.205763949805508,38.36753405304885,0.03217503,0.024500435,Guzel Sanatlar
27.20393215097299,38.3674471302764,0.11060692,0.055171303,Guzel Sanatlar
27.204046622460396,38.36744693111518,0.043065693,0.058319606,Guzel Sanatlar
27.204161093946674,38.3674467318422,0.062567815,0.044552844,Guzel Sanatlar
27.204275565431818,38.367446532457464,0.02146718,-0.034245506,Guzel Sanatlar
27.204390036915832,38.36744633296095,-0.023285734,-0.10284718,Guzel Sanatlar
27.204504508398713,38.36744613335269,-0.023690572,0.012711864,Guzel Sanatlar
27.20461897988046,38.36744593363267,-0.043055218,0.2246748,Guzel Sanatlar
27.204733451361072,38.36744573380089,-0.08277405,0.19960956,Guzel Sanatlar
27.204847922840553,38.36744553385734,-0.07408344,0.14618792,Guzel Sanatlar
27.2049623943189,38.36744533380204,-0.06006749,0.052392833,Guzel Sanatlar
27.205076865796112,38.36744513363497,-0.02744759,0.015317286,Guzel Sanatlar
27.205191337272186,38.36744493335615,-0.016065016,0.04319059,Guzel Sanatlar
27.205305808747127,38.36744473296556,0.007930785,0.007454739,Guzel Sanatlar
27.205420280220928,38.3674445324632,0.020517737,0.06385224,Guzel Sanatlar
27.205534751693587,38.36744433184909,0.056340754,0.051460363,Guzel Sanatlar
27.20564922316511,38.36744413112323,0.043688342,0.06425993,Guzel Sanatlar
27.204046369420837,38.36735680834091,0.084924296,0.12075405,Guzel Sanatlar
27.204160840765162,38.367356609068565,0.10747957,0.087676905,Guzel Sanatlar
27.20427531210835,38.36735640968446,0.027245834,0.030703688,Guzel Sanatlar
