longitude,latitude,ndvi,ndbi
27.195368835614346,38.375662919819234,0.48592964,-0.10459469
27.195483320105268,38.37566272898432,0.4406504,-0.12804656
27.195597804595106,38.37566253803761,0.42999548,-0.097548254
27.195254108914853,38.375572987846404,0.26402116,0.020098442
27.195368593264845,38.3755727971239,0.31873614,0.0037688443
27.195483077613755,38.375572606289595,0.37195453,-0.02778341
27.195597561961577,38.3755724153435,0.45792565,-0.0690583
27.19571204630832,38.375572224285605,0.35535264,-0.14680256
27.195826530653978,38.37557203311592,0.3001277,-0.1615322
27.195139382499388,38.37548305575917,0.2590909,0.0
27.195253866708445,38.37548286514907,0.2252042,0.026876738
27.19536835091643,38.37548267442717,0.23851852,0.029036004
27.19548283512332,38.37548248359348,0.25872973,0.07459066
27.195597319329135,38.375482292647995,0.33133972,0.044019755
27.195711803533865,38.37548210159072,0.3532423,0.010810811
27.19582628773751,38.375481910421655,0.27832875,-0.05595259
27.19594077194007,38.375481719140794,0.2475805,-0.13385575
27.19491017229873,38.37539331394343,0.62175524,-0.055935614
27.19502465636794,38.37539312355752,0.4636632,-0.07546798
27.195139140436073,38.37539293305982,0.38250986,-0.03652174
27.195253624503124,38.37539274245033,0.25281805,-0.05814349
27.195368108569088,38.37539255172904,0.21301536,-0.060611416
27.195482592633976,38.375392360895965,0.2056287,3.7636433E-4
27.195597076697776,38.3753921699511,0.26783043,-0.022320531
27.195711560760493,38.375391978894434,0.30569655,0.024441635
27.19582604482213,38.37539178772598,0.29517904,0.082117885
27.19594052888268,38.37539159644573,0.29825318,-0.05281567
27.19605501294214,38.37539140505369,0.26050422,-0.18912797
27.19616949700052,38.375391213549854,0.3868295,-0.118536755
27.194795446592238,38.375303381514975,0.58684546,-0.011190234
27.194909930520517,38.37530319124147,0.55902267,0.037265953
27.19502441444772,38.37530300085618,0.50440586,0.0063492064
27.195138898373838,38.37530281035909,0.28227663,0.040400878
27.195253382298876,38.37530261975021,0.20478958,-0.0146818925
27.195367866222835,38.37530242902954,0.20883034,-0.016162826
27.19548235014571,38.37530223819707,0.22190201,0.01654554
27.1955968340675,38.375302047252816,0.2557327,-0.019503547
27.19571131798821,38.37530185619677,0.2257238,0.07232887
27.19582580190783,38.37530166502893,0.30560806,0.059464365
27.19594028582637,38.375301473749296,0.30313015,-0.008285532
27.19605476974382,38.37530128235787,0.2801536,-0.12519178
27.196169253660187,38.37530109085465,0.31418657,-0.08913738
27.196283737575467,38.37530089923965,0.5308642,-0.10604559
27.194680721169764,38.37521344897211,0.63419235,-0.033797216
27.194795204957114,38.375213258811016,0.39314613,-0.09277581
27.194909688743383,38.37521306853812,0.264124,-0.041330647
27.195024172528576,38.375212878153434,0.20405482,-0.05841584
27.195138656312686,38.37521268765696,0.1736224,0.011263318
27.195253140095716,38.37521249704869,0.15101592,0.027528612
27.195367623877665,38.375212306328635,0.17050691,0.017332096
27.19548210765853,38.37521211549679,0.16770606,-0.026218338
27.19559659143831,38.375211924553135,0.22056833,-0.13227679
27.19571107521701,38.37521173349771,0.29884565,-0.04704463
27.19582555899462,38.375211542330476,0.28419876,0.007337074
27.19594004277115,38.375211351051455,0.30797547,0.04523063
27.196054526546593,38.375211159660644,0.3065442,0.0010533708
27.196169010320947,38.37521096815805,0.32200858,-0.10794743
27.196283494094214,38.375210776543646,0.38515437,-0.16758952
27.196397977866397,38.37521058481747,0.5102824,-0.099620685
27.19651246163749,38.37521039297948,0.80348164,-0.30661434
27.19445151238381,38.37512370625176,0.58099353,0.03955014
27.19456599603131,38.37512351631486,0.43453312,0.0041644033
27.194680479677732,38.37512332626616,0.3187177,-0.007585335
27.194794963323073,38.37512313610567,0.17630854,0.024636973
27.194909446967333,38.37512294583339,0.17718941,0.08674356
27.195023930610517,38.37512275544931,0.18855496,0.087258935
27.195138414252618,38.37512256495345,0.14465849,0.001222494
27.19525289789364,38.37512237434579,0.22666667,0.038022812
27.195367381533575,38.37512218362635,0.294809,0.10159701
27.19548186517243,38.375121992795115,0.24949618,0.022390414
27.195596348810202,38.375121801852075,0.17118928,-0.046863303
27.195710832446892,38.37512161079726,0.26674938,0.019212296
27.195825316082495,38.375121419630645,0.29255712,-0.027734375
27.195939799717014,38.37512122835224,0.2854245,0.057573825
27.196054283350446,38.37512103696205,0.2785957,0.09189624
27.19616876698279,38.37512084546005,0.2801906,-0.12532216
27.19628325061405,38.37512065384628,0.25185448,-0.10801938
27.196397734244222,38.375120462120705,0.28416213,-0.037124537
27.196512217873305,38.37512027028334,0.5510204,-0.13762288
27.1966267015013,38.37512007833419,0.7068903,-0.09623039
27.19433678767031,38.37503377336769,0.44092998,-0.034750532
27.194451271176877,38.375033583543186,0.29206625,-0.033292662
27.194565754682365,38.375033393606884,0.24129032,-0.019968193
27.194680238186777,38.3750332035588,0.19404836,0.041632112
